id,content_length,in_degree,out_degree
The_White_Stripes,28385,2,11
Don_Henley,10880,15,20
Harry_Chapin,6465,4,2
Sheryl_Crow,14104,16,17
Icehouse_(band),9921,4,11
The_Mamas_&_the_Papas,8437,2,4
Meat_Loaf,19927,8,14
Nine_Inch_Nails,37614,43,35
Pink_Floyd,30511,63,11
Ted_Nugent,18453,21,20
John_Mayer,28125,11,11
Frank_Zappa,34734,31,20
X_(American_band),5217,4,1
The_Used,8457,5,10
The_Who,29579,26,35
Flyleaf_(band),7124,9,10
Papa_Roach,17226,20,34
Canned_Heat,6588,5,13
The_Cars,4183,6,3
Faces_(band),6273,7,7
Weezer,27073,23,28
Arctic_Monkeys,26409,13,22
Avril_Lavigne,38758,13,31
P.O.D.,7936,12,12
Edgar_Winter,5971,4,4
The_Allman_Brothers_Band,13177,5,10
Blur_(band),13276,11,9
Megadeth,30075,34,43
Manfred_Mann's_Earth_Band,6744,8,15
Grateful_Dead,21435,25,8
INXS,14422,10,20
Rob_Zombie,20433,17,22
Florence_and_the_Machine,17516,3,9
Steve_Miller_Band,4458,8,5
Bill_Haley_&_His_Comets,10010,5,4
John_Mayall,6434,5,11
Coheed_and_Cambria,11602,3,21
Limp_Bizkit,30615,26,39
Roxy_Music,9709,23,23
Hinder,6516,7,27
Interpol_(band),6411,5,3
Joy_Division,8980,22,10
The_Alan_Parsons_Project,3508,3,4
David_Bowie,42576,84,21
Little_Richard,26078,38,41
Three_Dog_Night,5965,5,5
Bring_Me_the_Horizon,32368,6,17
The_Offspring,14889,13,22
Robert_Plant,14696,28,13
Three_Days_Grace,20347,18,24
Tesla_(band),4859,8,8
Fun_(band),4073,3,5
Jim_Croce,4480,1,1
Marilyn_Manson_(band),46154,21,34
Highly_Suspect,4704,1,9
Thirty_Seconds_to_Mars,10857,6,19
Slipknot_(band),23659,31,31
Peter_Gabriel,20534,20,15
The_All-American_Rejects,9399,4,12
Live_(band),5691,13,11
Sly_and_the_Family_Stone,9296,9,8
The_Cure,16510,12,19
Chicago_(band),38062,9,21
Blondie_(band),12303,16,18
Van_Zant_(band),1948,0,1
Accept_(band),7552,17,19
Midnight_Oil,17683,8,29
Beastie_Boys,21213,22,13
Harry_Nilsson,8693,13,12
Alice_Cooper,28676,58,41
Europe_(band),8193,6,16
Alter_Bridge,12476,11,21
Joan_Jett,11725,11,14
Tool_(band),21136,26,27
Drowning_Pool,5670,5,21
The_Velvet_Underground,15159,9,12
Foreigner_(band),12175,21,19
Rush_(band),26897,36,48
Bon_Jovi,14838,24,12
The_Marshall_Tucker_Band,7325,2,5
Korn,30096,37,33
Led_Zeppelin,21781,118,30
Sum_41,33420,15,33
Blue_Öyster_Cult,10816,10,26
Cage_the_Elephant,7719,3,17
Death_Cab_for_Cutie,10343,5,3
Charlie_Daniels,7831,5,4
Hootie_&_the_Blowfish,4590,2,4
R.E.M.,20004,24,18
Marilyn_Manson,36778,15,17
Bryan_Adams,39382,17,51
Jefferson_Airplane,12976,17,12
New_York_Dolls,10787,20,34
Filter_(band),8096,13,13
Days_of_the_New,5954,2,9
Queen_(band),46195,87,46
Living_Colour,5729,10,6
Eagles_(band),16870,29,17
Jet_(Australian_band),11701,0,12
Lifehouse_(band),6408,2,3
Yes_(band),21484,32,26
The_B-52's,8061,0,9
Styx_(band),8963,17,9
Tom_Petty,15212,25,22
ZZ_Top,10326,24,9
Jerry_Lee_Lewis,15168,18,9
Eddie_Money,5698,4,5
Finger_Eleven,5858,12,12
Coldplay,47199,24,25
The_Monkees,17778,10,6
The_Clash,15634,8,15
Chris_de_Burgh,4446,0,5
Creedence_Clearwater_Revival,10256,14,11
Bowling_for_Soup,10860,3,12
Stone_Temple_Pilots,10413,23,19
Badfinger,14632,6,13
Paul_McCartney_and_Wings,11027,4,9
Toto_(band),11196,14,18
Tom_Petty_and_the_Heartbreakers,6710,17,20
Whitesnake,27037,26,32
Collective_Soul,5749,6,9
The_Dave_Clark_Five,4041,0,8
The_Beatles,36275,64,22
Third_Eye_Blind,13913,6,12
The_Stone_Roses,10374,0,8
Billy_Squier,4477,4,18
The_Mothers_of_Invention,8806,3,9
Roy_Orbison,16446,19,28
Smash_Mouth,7360,1,14
Def_Leppard,16578,39,53
The_Boxtones,2459,0,7
The_Fray,9018,2,12
Jefferson_Starship,10388,4,7
Bob_Dylan,42556,95,31
Lacuna_Coil,7090,10,14
Donovan,11929,11,20
Foo_Fighters,19672,49,18
"Emerson,_Lake_&_Palmer",10724,12,7
Quiet_Riot,11042,18,20
"Crosby,_Stills,_Nash_&_Young",15616,11,13
Santana_(band),7651,20,6
Ten_Years_After,2895,4,2
The_Byrds,29044,10,10
Blues_Traveler,5260,7,4
Everlast,4239,0,12
Parliament_(band),1698,3,3
Sixto_Rodriguez,7697,0,4
Smokie_(band),4763,1,3
The_Hives,6251,1,3
Morrissey,30610,15,21
Snow_Patrol,10779,4,8
Deep_Purple,22828,50,72
Steely_Dan,10294,12,10
Theory_of_a_Deadman,6287,12,12
Sam_Fender,26909,1,24
Chubby_Checker,7070,3,5
The_Moody_Blues,14171,5,16
Duane_Eddy,9951,6,8
T._Rex_(band),10356,23,13
The_Outfield,5977,1,9
April_Wine,5943,2,22
Greta_Van_Fleet,9868,1,10
The_Doobie_Brothers,11285,3,25
Boys_Like_Girls,9813,6,12
Huey_Lewis_and_the_News,5767,2,3
Mitch_Ryder,2533,3,8
The_Cab,8481,0,10
Green_Day,35259,45,23
Dropkick_Murphys,14445,6,6
Black_Sabbath,30496,73,61
Hole_(band),16712,11,16
Joe_Walsh,12047,19,28
Puddle_of_Mudd,8403,9,24
Pearl_Jam,21645,60,24
The_Killers,20227,4,16
The_Hollies,6535,2,7
Jimmy_Eat_World,8033,11,11
Trivium_(band),13958,15,31
Neil_Young,28823,51,33
Fall_Out_Boy,38263,18,22
Dio_(band),5089,17,14
Kings_of_Leon,7811,7,8
Black_Veil_Brides,15135,4,27
John_Lennon,30436,69,14
Queensrÿche,12543,12,26
Social_Distortion,9102,11,15
Michael_Martin_Murphey,6253,0,3
Skillet_(band),12006,7,19
Saving_Abel,2351,6,9
Gary_Glitter,14663,3,11
Sting_(musician),18867,22,18
Manfred_Mann_(musician),2383,3,5
Mike_and_the_Mechanics,4163,1,2
Pat_Benatar,9429,8,15
The_Strokes,10840,5,11
James_Taylor,14369,14,9
Metallica,34999,84,48
Linda_Ronstadt,29947,15,25
Ben_Folds_Five,3874,0,3
Tenacious_D,18712,4,22
White_Zombie_(band),4569,14,16
Mötley_Crüe,30954,45,35
Electric_Light_Orchestra,9547,12,13
Avenged_Sevenfold,16564,26,37
Panic!_at_the_Disco,22207,17,11
Chris_Rea,11186,1,9
Jimi_Hendrix,28918,77,32
The_Kinks,19910,10,14
Nirvana_(band),15518,73,17
Herman's_Hermits,6425,8,2
Nickelback,13404,23,29
Lenny_Kravitz,13300,11,15
James_Blunt,11884,3,3
System_of_a_Down,18677,25,29
Sublime_with_Rome,5777,2,5
Kaiser_Chiefs,6860,3,6
Funkadelic,2859,6,6
Volbeat,6432,10,19
Buckcherry,4876,8,16
Garbage_(band),16664,10,15
Deftones,20858,31,20
Melissa_Etheridge,9015,3,8
Air_Supply,8151,3,4
Silverchair,15415,3,18
Christopher_Cross,6273,4,8
Iron_Maiden,27774,55,23
Tracy_Chapman,6804,2,2
Stevie_Ray_Vaughan,16383,10,17
Jack_White,22892,9,12
Dire_Straits,12713,11,12
Imagine_Dragons,17706,4,16
Rainbow_(rock_band),5955,14,5
Bullet_for_My_Valentine,20170,11,29
Steppenwolf_(band),3861,3,5
Gene_Vincent,7157,6,10
Dave_Matthews_Band,12599,10,9
Goo_Goo_Dolls,8354,8,3
Steve_Vai,17900,12,13
Ozzy_Osbourne,28658,58,27
Everclear_(band),6029,6,17
Cinderella_(band),4020,7,15
Alice_Cooper_(band),6295,3,23
Blink-182,22611,23,21
Franz_Ferdinand_(band),8571,6,12
Sex_Pistols,18989,51,19
Twisted_Sister,7177,10,22
Ramones,18957,39,33
The_Smashing_Pumpkins,21917,17,45
The_Bangles,5633,4,6
Muse_(band),15393,18,14
Linkin_Park,38938,31,36
Lou_Reed,16647,31,13
The_Animals,4853,6,4
Good_Charlotte,12860,6,19
Rammstein,16778,8,11
Parliament-Funkadelic,5059,4,6
Bee_Gees,23539,20,18
Counting_Crows,9418,12,10
Jeff_Buckley,13431,12,25
Billy_Joel,28799,22,20
Iggy_Pop,17675,28,20
Simon_&_Garfunkel,13098,10,8
Echo_&_the_Bunnymen,7601,11,3
Keane_(band),10111,4,9
Supertramp,8223,6,5
Alice_in_Chains,33162,51,74
Van_Halen,17677,51,21
Evanescence,29450,14,24
Disturbed_(band),11847,19,32
Judas_Priest,22799,44,35
Heart_(band),13078,19,23
Hall_&_Oates,12362,8,7
Run-DMC,9034,13,13
Billy_Talent,7874,4,18
Faith_No_More,15723,26,24
Manfred_Mann,4181,10,5
The_Doors,15877,17,14
George_Thorogood,6400,4,2
Primus_(band),14510,16,26
Kansas_(band),7604,5,15
Cake_(band),9304,4,6
The_J._Geils_Band,5106,0,14
Tommy_James_and_the_Shondells,3983,1,1
Steve_Winwood,8704,17,15
The_Zombies,9480,1,5
The_Black_Keys,18064,2,8
Boston_(band),8368,8,11
Uriah_Heep_(band),10961,16,20
Dashboard_Confessional,5977,7,16
Cold_Chisel,11677,6,13
Rod_Stewart,21597,33,22
Sublime_(band),7702,5,11
Duran_Duran,19921,16,28
Ambrosia_(band),4940,1,9
The_Jesus_and_Mary_Chain,9660,1,14
Glenn_Frey,8713,8,6
Motörhead,21714,24,24
The_Cult,14833,7,24
Bob_Seger,8098,19,16
Ritchie_Valens,6401,5,11
Catfish_and_the_Bottlemen,9589,2,6
Fuel_(band),5667,8,8
George_Harrison,26805,36,23
Thin_Lizzy,14505,23,37
Elton_John,41474,67,25
FireHouse,3580,0,9
Billy_Idol,10558,11,13
AC/DC,0,42,0
The_Jam,8618,3,5
Van_Morrison,32268,23,18
Elvis_Presley,34478,71,7
Five_for_Fighting,11025,2,11
The_Go-Go's,6855,1,7
Pixies_(band),14938,19,32
Saliva_(band),6567,4,10
Train_(band),12033,5,18
Warrant_(American_band),4814,8,13
Rise_Against,18005,9,18
ABBA,24677,11,9
The_Smiths,15734,4,18
Bruce_Springsteen,33954,63,15
Our_Lady_Peace,9493,6,18
Sonic_Youth,12419,16,11
Seether,7285,15,16
The_Guess_Who,7653,3,2
Rage_Against_the_Machine,22336,33,25
The_Verve,7426,2,6
Asia_(band),9640,4,15
Kid_Rock,18159,18,16
Bachman–Turner_Overdrive,10619,4,16
The_Four_Seasons_(band),14629,2,4
Janis_Joplin,22526,13,11
Mumford_&_Sons,11242,3,8
Halestorm,6216,20,10
Jane's_Addiction,14071,24,28
Bloodhound_Gang,5141,1,2
Simple_Plan,10296,8,14
Slayer,25952,39,35
Guns_N'_Roses,60934,62,52
Paramore,30845,15,24
Pantera,16664,38,42
The_Flaming_Lips,11670,9,10
Starset,7805,2,11
Adam_Ant,15468,5,13
Chuck_Berry,12969,43,16
The_Band,14228,6,19
Ratt,7463,20,19
Ringo_Starr,24278,34,18
Joe_Satriani,9206,11,16
Starship_(band),5717,2,6
Genesis_(band),25136,27,17
Slade,20750,12,35
Stevie_Nicks,23225,21,18
Blue_October,6339,0,8
Phil_Collins,30605,18,30
Eddie_Cochran,7422,15,21
Grand_Funk_Railroad,5476,6,6
Eric_Clapton,31931,51,32
Elvis_Costello,28930,36,29
Sepultura,15041,19,32
The_Yardbirds,8668,8,15
Staind,7522,19,32
Foster_the_People,10812,1,3
Black_Stone_Cherry,3087,4,12
Buddy_Holly,12782,31,18
The_Rolling_Stones,44129,48,29
Godsmack,14272,21,13
Queens_of_the_Stone_Age,14226,15,21
Stone_Sour,6945,11,13
Paul_McCartney,42583,67,28
Kaleo_(band),6289,0,6
John_Mayall_&_the_Bluesbreakers,1928,7,8
Bad_Company,5659,15,17
Ian_Dury,8679,1,6
John_Fogerty,8988,13,9
Shinedown,12736,18,19
The_Pretty_Reckless,14075,2,24
AFI_(band),9859,7,11
The_Big_Bopper,4854,3,4
The_Presidents_of_the_United_States_of_America_(band),4212,0,1
Velvet_Revolver,10127,12,22
Status_Quo_(band),10486,9,13
Manfred_Mann_Chapter_Three,532,5,4
Damn_Yankees_(band),2512,4,7
The_Police,13037,8,12
Bush_(British_band),7283,11,27
Barenaked_Ladies,13014,7,13
Five_Finger_Death_Punch,16782,15,22
W.A.S.P._(band),6404,13,13
My_Chemical_Romance,29322,19,31
Foals_(band),6957,3,8
Small_Faces,8100,9,11
Awolnation,9479,1,11
Crash_Test_Dummies,5548,1,0
Lynyrd_Skynyrd,9407,19,12
Vampire_Weekend,10515,1,8
The_Sweet,10474,7,25
Audioslave,13600,10,13
Traveling_Wilburys,9918,6,13
Killswitch_Engage,11657,14,20
The_Cranberries,19771,2,10
Kiss_(band),27612,70,25
Cheap_Trick,7112,30,11
Survivor_(band),7131,3,4
Hoobastank,4704,5,5
Creed_(band),12457,16,15
Travis_(band),7426,3,8
Daughtry_(band),8291,6,20
Matchbox_Twenty,5961,6,3
Kenny_Loggins,7090,9,4
UB40,11032,0,5
Bo_Diddley,12941,16,12
The_Script,7056,1,6
Bryan_Ferry,11893,6,8
Red_Hot_Chili_Peppers,24300,50,34
America_(band),8463,6,17
Jethro_Tull_(band),12593,15,19
Aerosmith,31062,48,39
Beck,19476,20,26
Cream_(band),6589,35,10
Peter_Frampton,9699,19,19
Royal_Blood_(band),5452,1,8
A_Perfect_Circle,14316,10,19
The_Lumineers,9805,2,14
U2,43155,73,15
Fleetwood_Mac,20225,31,22
Alanis_Morissette,18861,13,16
Soundgarden,20556,46,24
Incubus_(band),11303,22,22
The_Everly_Brothers,9031,7,14
Bay_City_Rollers,13233,1,6
Joe_Cocker,7343,12,15
Fats_Domino,8634,14,15
Great_White,9648,4,21
Pop_Evil,3849,9,13
The_Pretenders,4600,7,5
Crowded_House,10857,7,9
Oasis_(band),20822,30,16
Chevelle_(band),16146,11,13
Anthrax_(American_band),14538,34,34
AllMusic,2025,355,2
Golden_Earring,3936,1,8
Montgomery_Gentry,8823,0,5
Poison_(American_band),8259,14,23
X_Ambassadors,5659,1,5
The_Beach_Boys,37951,14,21
The_Black_Crowes,6229,2,10
Bread_(band),5992,0,5
No_Doubt,10868,15,11
Breaking_Benjamin,16605,20,32
The_Lovin'_Spoonful,26931,3,14
Radiohead,34032,33,25
Men_at_Work,7016,2,3
Extreme_(band),4026,9,5
Traffic_(band),4983,11,7
Dan_Fogelberg,3653,4,6
Scorpions_(band),10890,22,15
Ghost_(Swedish_band),26075,6,21
Modest_Mouse,6696,6,6
England_Dan_&_John_Ford_Coley,2357,0,4
Thousand_Foot_Krutch,7182,3,9
The_Tragically_Hip,10446,6,8
Gin_Blossoms,4834,5,5
Shakin'_Stevens,4252,0,1
Loverboy,3684,5,13
Simple_Minds,18071,12,13
Lamb_of_God_(band),15375,11,14
Chris_Cornell,35003,17,31
Twenty_One_Pilots,31815,3,9
Depeche_Mode,21266,26,28
Dallas_Green_(musician),8875,2,4
Flogging_Molly,2682,2,8
Mudvayne,7963,6,16
The_Cardigans,3992,1,1
John_Mellencamp,15360,14,15
Little_River_Band,17904,2,12
Talking_Heads,8790,24,15
REO_Speedwagon,5811,16,11
Arcade_Fire,17121,11,7
Journey_(band),13657,32,24
The_Fixx,1850,0,2
Skid_Row_(American_band),8679,21,16
Jackson_Browne,8392,13,20
