artist,sentiment_labmt,n_tokens_used,page_file
ABBA,6.430304161224109,5359,ABBA.txt
AC/DC,6.23289397357396,6206,AC_DC.txt
A_Perfect_Circle,6.403500692520775,2888,A_Perfect_Circle.txt
Adam_Ant,6.2825862595419855,3275,Adam_Ant.txt
Aerosmith,6.26437518595656,6722,Aerosmith.txt
Air_Supply,6.4634557344064385,1988,Air_Supply.txt
Alanis_Morissette,6.404441546122836,4217,Alanis_Morissette.txt
Alice_Cooper,6.253145197997268,6591,Alice_Cooper.txt
Alice_in_Chains,6.1759461818181824,6875,Alice_in_Chains.txt
AllMusic,6.441911468812878,497,AllMusic.txt
Alter_Bridge,6.287092511013216,2724,Alter_Bridge.txt
April_Wine,6.410322147651008,1490,April_Wine.txt
Arcade_Fire,6.19520782396088,4090,Arcade_Fire.txt
Arctic_Monkeys,6.249466501240696,5642,Arctic_Monkeys.txt
Audioslave,6.098325901905148,2467,Audioslave.txt
Avenged_Sevenfold,6.189098207118009,3737,Avenged_Sevenfold.txt
Avril_Lavigne,6.291936157864189,8615,Avril_Lavigne.txt
Awolnation,6.36213666987488,2078,Awolnation.txt
Bad_Company,5.853533568904593,1415,Bad_Company.txt
Badfinger,6.201032367972743,2935,Badfinger.txt
Barenaked_Ladies,6.463524562006183,2911,Barenaked_Ladies.txt
Bay_City_Rollers,6.298109965635739,2619,Bay_City_Rollers.txt
Beastie_Boys,6.207403100775194,4902,Beastie_Boys.txt
Beck,6.302366892545983,4132,Beck.txt
Bee_Gees,6.309680566182095,5228,Bee_Gees.txt
Ben_Folds_Five,6.3780690537084395,782,Ben_Folds_Five.txt
Billy_Idol,6.294399028733306,2471,Billy_Idol.txt
Billy_Joel,6.3757626587239375,6379,Billy_Joel.txt
Billy_Squier,6.246663669064749,1112,Billy_Squier.txt
Billy_Talent,6.269792008757526,1827,Billy_Talent.txt
Black_Sabbath,6.043233094421939,6418,Black_Sabbath.txt
Black_Stone_Cherry,6.430922459893048,748,Black_Stone_Cherry.txt
Black_Veil_Brides,6.268053836633663,3232,Black_Veil_Brides.txt
Blink-182,6.209687567802127,4609,Blink-182.txt
Bloodhound_Gang,6.109110047846889,1045,Bloodhound_Gang.txt
Blue_October,6.321566011235955,1424,Blue_October.txt
Blues_Traveler,6.3789444444444445,1260,Blues_Traveler.txt
Bo_Diddley,6.326103372434018,2728,Bo_Diddley.txt
Bob_Dylan,6.279496369173109,8538,Bob_Dylan.txt
Bob_Seger,6.274603729603729,1716,Bob_Seger.txt
Bon_Jovi,6.342405755395683,3475,Bon_Jovi.txt
Bowling_for_Soup,6.291084971910112,2848,Bowling_for_Soup.txt
Boys_Like_Girls,6.507005856515373,2732,Boys_Like_Girls.txt
Breaking_Benjamin,5.8894937674891885,3931,Breaking_Benjamin.txt
Bring_Me_the_Horizon,6.272003571428571,8400,Bring_Me_the_Horizon.txt
Bruce_Springsteen,6.341453273495248,7576,Bruce_Springsteen.txt
Bryan_Adams,6.386595991194532,8631,Bryan_Adams.txt
Bryan_Ferry,6.403617431546472,2593,Bryan_Ferry.txt
Buckcherry,6.333268858800773,1034,Buckcherry.txt
Buddy_Holly,6.237295412844036,2725,Buddy_Holly.txt
Bullet_for_My_Valentine,6.00210064469914,5584,Bullet_for_My_Valentine.txt
Cage_the_Elephant,6.099349349349349,1998,Cage_the_Elephant.txt
Canned_Heat,6.141248012718601,1258,Canned_Heat.txt
Catfish_and_the_Bottlemen,6.417396569122098,1982,Catfish_and_the_Bottlemen.txt
Charlie_Daniels,6.177062780269058,1784,Charlie_Daniels.txt
Cheap_Trick,6.288068872383525,1481,Cheap_Trick.txt
Chris_Cornell,6.126311650226606,7502,Chris_Cornell.txt
Chris_Rea,6.206479113384484,2346,Chris_Rea.txt
Chris_de_Burgh,6.360900109769484,911,Chris_de_Burgh.txt
Christopher_Cross,6.479057627118644,1475,Christopher_Cross.txt
Chubby_Checker,6.340313559322033,1180,Chubby_Checker.txt
Chuck_Berry,6.2845016393442625,3050,Chuck_Berry.txt
Coheed_and_Cambria,6.313275444264944,2476,Coheed_and_Cambria.txt
Cold_Chisel,6.318438150770512,2401,Cold_Chisel.txt
Coldplay,6.448368787823217,10906,Coldplay.txt
Collective_Soul,6.345082399472645,1517,Collective_Soul.txt
Counting_Crows,6.437210626185958,2108,Counting_Crows.txt
Crash_Test_Dummies,6.161464226289517,1202,Crash_Test_Dummies.txt
Creedence_Clearwater_Revival,6.249841485507247,2208,Creedence_Clearwater_Revival.txt
Crowded_House,6.226899224806202,2451,Crowded_House.txt
Dan_Fogelberg,6.3698701298701295,847,Dan_Fogelberg.txt
Dashboard_Confessional,6.27456231454006,1348,Dashboard_Confessional.txt
Dave_Matthews_Band,6.24440223074242,2869,Dave_Matthews_Band.txt
David_Bowie,6.2923514710894,8803,David_Bowie.txt
Days_of_the_New,6.2695764909248055,1157,Days_of_the_New.txt
Death_Cab_for_Cutie,6.049544383346426,2546,Death_Cab_for_Cutie.txt
Deep_Purple,6.207242790335152,5132,Deep_Purple.txt
Def_Leppard,6.278172043010753,3627,Def_Leppard.txt
Deftones,6.275727679522693,4693,Deftones.txt
Depeche_Mode,6.270083369899079,4558,Depeche_Mode.txt
Dire_Straits,6.218587933247753,3116,Dire_Straits.txt
Don_Henley,6.322548707753479,2515,Don_Henley.txt
Donovan,6.341387707769616,2587,Donovan.txt
Dropkick_Murphys,6.203826276463263,3212,Dropkick_Murphys.txt
Drowning_Pool,5.833103202846975,1405,Drowning_Pool.txt
Duane_Eddy,6.302508982035928,1670,Duane_Eddy.txt
Duran_Duran,6.369090489381349,4332,Duran_Duran.txt
Eddie_Cochran,6.167806250000001,1600,Eddie_Cochran.txt
Eddie_Money,6.248571428571427,1442,Eddie_Money.txt
Edgar_Winter,6.400727272727273,1265,Edgar_Winter.txt
Electric_Light_Orchestra,6.3369873890705275,2141,Electric_Light_Orchestra.txt
Elton_John,6.389438662533216,9032,Elton_John.txt
Elvis_Costello,6.301964285714286,6440,Elvis_Costello.txt
Elvis_Presley,6.183723759860943,7479,Elvis_Presley.txt
Eric_Clapton,6.307379978797516,6603,Eric_Clapton.txt
Evanescence,6.265030794165316,6170,Evanescence.txt
Everlast,6.181304791029562,981,Everlast.txt
Faith_No_More,5.998231488138031,4173,Faith_No_More.txt
Fall_Out_Boy,6.307737092244545,9258,Fall_Out_Boy.txt
Fats_Domino,6.151937500000001,1920,Fats_Domino.txt
Finger_Eleven,6.40878125,1280,Finger_Eleven.txt
FireHouse,6.279143546441497,829,FireHouse.txt
Five_Finger_Death_Punch,5.530229669557065,4267,Five_Finger_Death_Punch.txt
Five_for_Fighting,6.129996307237813,2708,Five_for_Fighting.txt
Fleetwood_Mac,6.286128409365194,4143,Fleetwood_Mac.txt
Flogging_Molly,6.279056910569106,615,Flogging_Molly.txt
Florence_and_the_Machine,6.3970407358738495,3805,Florence_and_the_Machine.txt
Foo_Fighters,6.31648661233993,4295,Foo_Fighters.txt
Foster_the_People,6.420174464710548,2522,Foster_the_People.txt
Frank_Zappa,6.26670089673127,6914,Frank_Zappa.txt
Funkadelic,6.40185606060606,528,Funkadelic.txt
Gary_Glitter,5.9771494826971105,2803,Gary_Glitter.txt
Gene_Vincent,6.193932002956393,1353,Gene_Vincent.txt
George_Harrison,6.327789767441861,5375,George_Harrison.txt
George_Thorogood,6.342592334494773,1435,George_Thorogood.txt
Gin_Blossoms,6.189076773566569,1029,Gin_Blossoms.txt
Glenn_Frey,6.236233766233765,1848,Glenn_Frey.txt
Godsmack,6.295597088984453,3023,Godsmack.txt
Golden_Earring,6.44889294403893,822,Golden_Earring.txt
Goo_Goo_Dolls,6.389508379888269,1790,Goo_Goo_Dolls.txt
Good_Charlotte,6.3372665148063785,3073,Good_Charlotte.txt
Grand_Funk_Railroad,6.306159420289855,1104,Grand_Funk_Railroad.txt
Grateful_Dead,5.971862297801742,4822,Grateful_Dead.txt
Great_White,6.305016863406408,2372,Great_White.txt
Green_Day,6.330859493396838,9238,Green_Day.txt
Greta_Van_Fleet,6.4164177816141565,2317,Greta_Van_Fleet.txt
Halestorm,6.347818717759764,1357,Halestorm.txt
Harry_Chapin,6.371908150064683,1546,Harry_Chapin.txt
Harry_Nilsson,6.282408488063661,1885,Harry_Nilsson.txt
Highly_Suspect,6.075069699192957,1363,Highly_Suspect.txt
Hinder,6.337755102040816,1470,Hinder.txt
Hoobastank,6.3367867298578195,1055,Hoobastank.txt
Huey_Lewis_and_the_News,6.319923371647509,1305,Huey_Lewis_and_the_News.txt
INXS,6.237753748558246,3468,INXS.txt
Ian_Dury,6.2227471940138965,1871,Ian_Dury.txt
Iggy_Pop,6.253626543209876,3888,Iggy_Pop.txt
Imagine_Dragons,6.434004395604396,4550,Imagine_Dragons.txt
Iron_Maiden,6.252558097962102,5594,Iron_Maiden.txt
Jack_White,6.254472648563558,5082,Jack_White.txt
Jackson_Browne,6.392912867274569,1974,Jackson_Browne.txt
James_Blunt,6.361206647398844,2768,James_Blunt.txt
James_Taylor,6.409318253220231,3183,James_Taylor.txt
Janis_Joplin,6.2200306882946075,4562,Janis_Joplin.txt
Jeff_Buckley,6.224415357766143,2865,Jeff_Buckley.txt
Jefferson_Airplane,6.220541031227305,2754,Jefferson_Airplane.txt
Jefferson_Starship,6.194679575841402,2169,Jefferson_Starship.txt
Jerry_Lee_Lewis,6.167583053946967,3281,Jerry_Lee_Lewis.txt
Jim_Croce,6.1160369609856255,974,Jim_Croce.txt
Jimi_Hendrix,6.217770783188297,5401,Jimi_Hendrix.txt
Jimmy_Eat_World,6.356803675048355,2068,Jimmy_Eat_World.txt
Joan_Jett,6.213754177497215,2693,Joan_Jett.txt
Joe_Cocker,6.340237107291049,1687,Joe_Cocker.txt
Joe_Satriani,6.392470160871821,1927,Joe_Satriani.txt
Joe_Walsh,6.202193711601012,2767,Joe_Walsh.txt
John_Fogerty,6.273109489051095,2055,John_Fogerty.txt
John_Lennon,6.258412480713184,5833,John_Lennon.txt
John_Mayall,6.2617489177489185,1155,John_Mayall.txt
John_Mayer,6.3126672131147545,6100,John_Mayer.txt
John_Mellencamp,6.214248826291079,3408,John_Mellencamp.txt
Joy_Division,6.252601961796593,1937,Joy_Division.txt
Judas_Priest,6.1066460817717205,4696,Judas_Priest.txt
Kaiser_Chiefs,6.397273795534665,1702,Kaiser_Chiefs.txt
Kenny_Loggins,6.473793103448276,1740,Kenny_Loggins.txt
Kid_Rock,6.264928880643166,4851,Kid_Rock.txt
Killswitch_Engage,6.164158200290276,2756,Killswitch_Engage.txt
Kings_of_Leon,6.428788386376326,1791,Kings_of_Leon.txt
Korn,6.21608373970069,5947,Korn.txt
Lacuna_Coil,6.285971867007672,1564,Lacuna_Coil.txt
Led_Zeppelin,6.360370454545454,4400,Led_Zeppelin.txt
Lenny_Kravitz,6.562005788712011,3455,Lenny_Kravitz.txt
Limp_Bizkit,6.288413284132841,6233,Limp_Bizkit.txt
Linda_Ronstadt,6.40727952167414,6690,Linda_Ronstadt.txt
Linkin_Park,6.325356992860143,9524,Linkin_Park.txt
Little_Richard,6.290733549083063,5562,Little_Richard.txt
Little_River_Band,6.2692979635584125,3732,Little_River_Band.txt
Living_Colour,6.450582191780822,1460,Living_Colour.txt
Lou_Reed,6.24081546275395,3544,Lou_Reed.txt
Loverboy,6.418390243902439,820,Loverboy.txt
Lynyrd_Skynyrd,6.025031878371751,2039,Lynyrd_Skynyrd.txt
Manfred_Mann,6.351473272490222,767,Manfred_Mann.txt
Manfred_Mann_Chapter_Three,6.488595041322314,121,Manfred_Mann_Chapter_Three.txt
Marilyn_Manson,5.901147837314396,7745,Marilyn_Manson.txt
Matchbox_Twenty,6.325874222529372,1447,Matchbox_Twenty.txt
Meat_Loaf,6.013949191685912,4763,Meat_Loaf.txt
Megadeth,6.054278247501922,6505,Megadeth.txt
Melissa_Etheridge,6.325908265213443,2202,Melissa_Etheridge.txt
Men_at_Work,6.188305454545453,1375,Men_at_Work.txt
Metallica,6.200929413358624,7381,Metallica.txt
Michael_Martin_Murphey,6.549932680538555,1634,Michael_Martin_Murphey.txt
Midnight_Oil,6.325580452920144,4195,Midnight_Oil.txt
Mike_and_the_Mechanics,6.4545870393900895,787,Mike_and_the_Mechanics.txt
Mitch_Ryder,6.275056603773584,530,Mitch_Ryder.txt
Modest_Mouse,6.24637161667886,1367,Modest_Mouse.txt
Montgomery_Gentry,6.157978609625667,1870,Montgomery_Gentry.txt
Morrissey,6.0711435087147745,6139,Morrissey.txt
Mudvayne,6.1230018879798624,1589,Mudvayne.txt
My_Chemical_Romance,6.2987780678851175,7660,My_Chemical_Romance.txt
Neil_Young,6.3445581727337625,7005,Neil_Young.txt
New_York_Dolls,6.211853194381514,2207,New_York_Dolls.txt
Nickelback,6.199462437395659,2995,Nickelback.txt
Nine_Inch_Nails,6.144827720207254,7720,Nine_Inch_Nails.txt
No_Doubt,5.80459487534626,2888,No_Doubt.txt
Our_Lady_Peace,6.378719043552519,2342,Our_Lady_Peace.txt
Ozzy_Osbourne,6.050314933965458,5906,Ozzy_Osbourne.txt
P.O.D.,6.237162872154116,1713,P.O.D..txt
Pantera,6.022191697191698,3276,Pantera.txt
Papa_Roach,6.344801957129543,4292,Papa_Roach.txt
Paramore,6.229517094017094,7020,Paramore.txt
Parliament-Funkadelic,6.351842105263158,988,Parliament-Funkadelic.txt
Pat_Benatar,6.394627817949808,2351,Pat_Benatar.txt
Paul_McCartney,6.377163200723326,8848,Paul_McCartney.txt
Paul_McCartney_and_Wings,6.37607604860839,2551,Paul_McCartney_and_Wings.txt
Pearl_Jam,6.291465167711022,5426,Pearl_Jam.txt
Peter_Frampton,6.301857630424184,2051,Peter_Frampton.txt
Peter_Gabriel,6.357928663515256,4654,Peter_Gabriel.txt
Phil_Collins,6.215894198978058,6654,Phil_Collins.txt
Pink_Floyd,6.24549781523096,6408,Pink_Floyd.txt
Pop_Evil,5.940459401709402,936,Pop_Evil.txt
Puddle_of_Mudd,6.352912895927602,1768,Puddle_of_Mudd.txt
Queens_of_the_Stone_Age,6.237668410725965,3058,Queens_of_the_Stone_Age.txt
Quiet_Riot,5.897582861762328,2474,Quiet_Riot.txt
R.E.M.,6.310879234548746,3867,R.E.M..txt
REO_Speedwagon,6.25284251968504,1270,REO_Speedwagon.txt
Radiohead,6.317650523560209,7640,Radiohead.txt
Rage_Against_the_Machine,5.680208054972323,5239,Rage_Against_the_Machine.txt
Rammstein,6.214587337478801,3538,Rammstein.txt
Ramones,6.1545618915159945,3595,Ramones.txt
Ratt,6.159398148148148,1512,Ratt.txt
Red_Hot_Chili_Peppers,6.240484164543139,5494,Red_Hot_Chili_Peppers.txt
Ringo_Starr,6.317056329497274,4953,Ringo_Starr.txt
Rise_Against,5.915270361229527,4457,Rise_Against.txt
Ritchie_Valens,6.235384024577574,1302,Ritchie_Valens.txt
Rob_Zombie,5.600981759656653,5592,Rob_Zombie.txt
Robert_Plant,6.448892617449664,3576,Robert_Plant.txt
Rod_Stewart,6.301984782608696,4600,Rod_Stewart.txt
Roxy_Music,6.455705244122965,2212,Roxy_Music.txt
Roy_Orbison,6.241334384858043,3170,Roy_Orbison.txt
Run-DMC,6.130806184428492,1811,Run-DMC.txt
Sam_Fender,6.367934212617193,6293,Sam_Fender.txt
Saving_Abel,6.338177339901478,609,Saving_Abel.txt
Seether,6.268849938499385,1626,Seether.txt
Sepultura,6.087958860759494,3160,Sepultura.txt
Sex_Pistols,6.007100126742712,3945,Sex_Pistols.txt
Sheryl_Crow,6.341808902750213,3527,Sheryl_Crow.txt
Shinedown,6.198062827225132,2865,Shinedown.txt
Silverchair,6.197574782888388,3109,Silverchair.txt
Simple_Minds,6.373249113475177,4512,Simple_Minds.txt
Simple_Plan,6.243738977072311,2835,Simple_Plan.txt
Sixto_Rodriguez,6.289593544530783,1673,Sixto_Rodriguez.txt
Slade,6.278952333664349,4028,Slade.txt
Slayer,6.0379165160824,5534,Slayer.txt
Sly_and_the_Family_Stone,6.408954907161804,1885,Sly_and_the_Family_Stone.txt
Small_Faces,6.266614127262113,1713,Small_Faces.txt
Smash_Mouth,6.320025906735751,1544,Smash_Mouth.txt
Snow_Patrol,6.228640572390573,2376,Snow_Patrol.txt
Social_Distortion,6.212923076923077,2145,Social_Distortion.txt
Sonic_Youth,6.242339731981166,2761,Sonic_Youth.txt
Soundgarden,6.210201435517481,4319,Soundgarden.txt
Staind,6.188043899289863,1549,Staind.txt
Starset,6.275017985611511,1668,Starset.txt
Steely_Dan,6.179441080577551,2147,Steely_Dan.txt
Steve_Miller_Band,6.368483206933912,923,Steve_Miller_Band.txt
Steve_Vai,6.442576385292593,3862,Steve_Vai.txt
Steve_Winwood,6.308258602711157,1918,Steve_Winwood.txt
Stevie_Nicks,6.376667323222376,5077,Stevie_Nicks.txt
Stevie_Ray_Vaughan,6.083490945674044,2982,Stevie_Ray_Vaughan.txt
Stone_Sour,6.37247357293869,1419,Stone_Sour.txt
Stone_Temple_Pilots,6.358609539207761,2474,Stone_Temple_Pilots.txt
Sublime_with_Rome,6.29121720116618,1372,Sublime_with_Rome.txt
Sum_41,6.066687466087901,7372,Sum_41.txt
Supertramp,6.1415625,1632,Supertramp.txt
System_of_a_Down,6.028300947867299,4220,System_of_a_Down.txt
Talking_Heads,6.278684889118102,1939,Talking_Heads.txt
Ted_Nugent,5.93039407490218,3578,Ted_Nugent.txt
Ten_Years_After,6.3944246031746035,504,Ten_Years_After.txt
Tenacious_D,6.248004938271604,4050,Tenacious_D.txt
The_Alan_Parsons_Project,6.4058431372549025,765,The_Alan_Parsons_Project.txt
The_All-American_Rejects,6.351226544622426,2185,The_All-American_Rejects.txt
The_Allman_Brothers_Band,6.234344202898551,2760,The_Allman_Brothers_Band.txt
The_Animals,6.317445652173913,1104,The_Animals.txt
The_Band,6.212581939799332,2990,The_Band.txt
The_Bangles,6.405848434925865,1214,The_Bangles.txt
The_Beach_Boys,6.446723150636905,8557,The_Beach_Boys.txt
The_Beatles,6.3466623942578835,7802,The_Beatles.txt
The_Big_Bopper,6.15176245210728,1044,The_Big_Bopper.txt
The_Black_Crowes,6.308587035688274,1373,The_Black_Crowes.txt
The_Black_Keys,6.364046028210839,4041,The_Black_Keys.txt
The_Boxtones,6.424621359223301,515,The_Boxtones.txt
The_Byrds,6.26358408903545,4852,The_Byrds.txt
The_Cab,6.3990578034682075,1730,The_Cab.txt
The_Cardigans,6.485257082896117,953,The_Cardigans.txt
The_Cars,6.368532196969697,1056,The_Cars.txt
The_Clash,6.107562724014337,3069,The_Clash.txt
The_Cranberries,6.282363960749332,4484,The_Cranberries.txt
The_Cult,6.2002512562814065,3184,The_Cult.txt
The_Cure,6.4110385177961975,4102,The_Cure.txt
The_Dave_Clark_Five,6.34470511140236,763,The_Dave_Clark_Five.txt
The_Doobie_Brothers,6.321799751758379,2417,The_Doobie_Brothers.txt
The_Doors,6.214363580055745,3229,The_Doors.txt
The_Everly_Brothers,6.20450704225352,1988,The_Everly_Brothers.txt
The_Fixx,6.330407124681935,393,The_Fixx.txt
The_Flaming_Lips,6.240290502793296,2685,The_Flaming_Lips.txt
The_Fray,6.367042932947419,2073,The_Fray.txt
The_Guess_Who,6.274421813403417,1522,The_Guess_Who.txt
The_Hives,6.2106790945406125,1502,The_Hives.txt
The_Hollies,6.118621200889548,1349,The_Hollies.txt
The_J._Geils_Band,6.328010704727922,1121,The_J._Geils_Band.txt
The_Jam,6.262684426229509,1952,The_Jam.txt
The_Jesus_and_Mary_Chain,6.209429846306397,2017,The_Jesus_and_Mary_Chain.txt
The_Killers,6.035148023047884,5033,The_Killers.txt
The_Kinks,6.259416411824668,3924,The_Kinks.txt
The_Lumineers,6.317567328918322,2265,The_Lumineers.txt
The_Marshall_Tucker_Band,6.341134545454547,1375,The_Marshall_Tucker_Band.txt
The_Monkees,6.2611029810298096,3690,The_Monkees.txt
The_Moody_Blues,6.223405459387483,3004,The_Moody_Blues.txt
The_Mothers_of_Invention,6.313035714285714,1512,The_Mothers_of_Invention.txt
The_Offspring,6.205062656641603,3192,The_Offspring.txt
The_Outfield,6.300760959470637,1209,The_Outfield.txt
The_Police,6.2286826555439685,2877,The_Police.txt
The_Pretenders,6.206942675159236,1099,The_Pretenders.txt
The_Pretty_Reckless,6.0926173096976015,3836,The_Pretty_Reckless.txt
The_Rolling_Stones,6.216257297526802,9421,The_Rolling_Stones.txt
The_Script,6.35866587957497,1694,The_Script.txt
The_Smashing_Pumpkins,6.232640730276026,4601,The_Smashing_Pumpkins.txt
The_Smiths,6.147508796622097,2842,The_Smiths.txt
The_Stone_Roses,6.4037101984310105,2167,The_Stone_Roses.txt
The_Strokes,6.35697247706422,2507,The_Strokes.txt
The_Sweet,6.344225888324873,2364,The_Sweet.txt
The_Tragically_Hip,6.217171540811873,2291,The_Tragically_Hip.txt
The_Used,6.228781752203214,1929,The_Used.txt
The_Velvet_Underground,6.324908356632494,3219,The_Velvet_Underground.txt
The_Verve,6.339749216300941,1595,The_Verve.txt
The_White_Stripes,6.316988242387699,6634,The_White_Stripes.txt
The_Who,6.269193385082687,5926,The_Who.txt
The_Yardbirds,6.290727048675293,1623,The_Yardbirds.txt
The_Zombies,6.140668006027122,1991,The_Zombies.txt
Theory_of_a_Deadman,6.343954678362573,1368,Theory_of_a_Deadman.txt
Thin_Lizzy,6.133339382940108,2755,Thin_Lizzy.txt
Third_Eye_Blind,5.876637770897833,3230,Third_Eye_Blind.txt
Thirty_Seconds_to_Mars,6.271076028250935,2407,Thirty_Seconds_to_Mars.txt
Thousand_Foot_Krutch,6.41294863665187,1577,Thousand_Foot_Krutch.txt
Three_Days_Grace,6.3686696466581525,4698,Three_Days_Grace.txt
Three_Dog_Night,6.367421524663677,1338,Three_Dog_Night.txt
Tom_Petty,6.251679805942996,3298,Tom_Petty.txt
Tom_Petty_and_the_Heartbreakers,6.215427631578948,1520,Tom_Petty_and_the_Heartbreakers.txt
Tommy_James_and_the_Shondells,6.253627019089574,681,Tommy_James_and_the_Shondells.txt
Tracy_Chapman,6.5451978021978015,1820,Tracy_Chapman.txt
Traveling_Wilburys,6.426585100598152,1839,Traveling_Wilburys.txt
Twenty_One_Pilots,6.34736643437863,6888,Twenty_One_Pilots.txt
Twisted_Sister,6.192573309395572,1671,Twisted_Sister.txt
U2,6.300433329852773,9577,U2.txt
UB40,6.324351145038169,2227,UB40.txt
Vampire_Weekend,6.554599751140606,2411,Vampire_Weekend.txt
Van_Halen,6.243232514177693,3703,Van_Halen.txt
Van_Morrison,6.3060772706028985,6419,Van_Morrison.txt
Velvet_Revolver,6.280446043165467,2085,Velvet_Revolver.txt
Volbeat,6.233675675675676,1480,Volbeat.txt
Weezer,6.3058902008894355,6521,Weezer.txt
Whitesnake,6.185214175124719,5813,Whitesnake.txt
X_Ambassadors,6.372435530085961,1396,X_Ambassadors.txt
ZZ_Top,6.326893164142448,2443,ZZ_Top.txt
